Name;NameAscii;Latitude;Longitude;CountryId
Kabul;Kabul;34.5328;69.1658;1
Kandahār;Kandahar;31.6078;65.7053;1
Herāt;Herat;34.3738;62.1792;1
Mazār-e Sharīf;Mazar-e Sharif;36.7;67.1167;1
Jalālābād;Jalalabad;34.4303;70.4528;1
Tāluqān;Taluqan;36.7167;69.5167;1
Kunduz;Kunduz;36.728;68.8725;1
Khulm;Khulm;36.6833;67.6833;1
Khānābād;Khanabad;36.6831;69.1636;1
Lashkar Gāh;Lashkar Gah;31.5938;64.3716;1
Maīmanah;Maimanah;35.9302;64.7701;1
Shibirghān;Shibirghan;36.665;65.752;1
Khōst;Khost;33.3333;69.9167;1
Ghaznī;Ghazni;33.5492;68.4233;1
Barakī Barak;Baraki Barak;33.9667;68.9667;1
Pul-e Khumrī;Pul-e Khumri;35.95;68.7;1
Farāh;Farah;32.3436;62.1194;1
Gardēz;Gardez;33.5931;69.2297;1
Faīẕābād;Faizabad;37.1298;70.5792;1
Bāmyān;Bamyan;34.8167;67.8167;1
Chārīkār;Charikar;35.0183;69.1679;1
Sar-e Pul;Sar-e Pul;36.2214;65.9278;1
Zaranj;Zaranj;30.96;61.86;1
Asadābād;Asadabad;34.8742;71.1528;1
Maīdān Shahr;Maidan Shahr;34.3972;68.8697;1
Qal‘ah-ye Zāl;Qal`ah-ye Zal;37.015;68.4672;1
Karukh;Karukh;34.4868;62.5918;1
Mehtar Lām;Mehtar Lam;34.6683;70.2089;1
Fayrōz Kōh;Fayroz Koh;34.5225;65.2517;1
Qalāt;Qalat;32.1061;66.9069;1
Tarīn Kōṯ;Tarin Kot;32.6333;65.8667;1
Maḩmūd-e Rāqī;Mahmud-e Raqi;35.0167;69.3333;1
Qal‘ah-ye Now;Qal`ah-ye Now;34.99;63.12;1
Aībak;Aibak;36.2534;68.0394;1
Pul-e ‘Alam;Pul-e `Alam;33.9953;69.0227;1
Sharan;Sharan;33.1757;68.7304;1
Nīlī;Nili;33.7218;66.1302;1
Bāzārak;Bazarak;35.3129;69.5152;1
Pārūn;Parun;35.4206;70.9226;1
Buynī Qarah;Buyni Qarah;36.3172;66.8747;1
Balkh;Balkh;36.7581;66.8989;1
Zarghūn Shahr;Zarghun Shahr;32.85;68.4167;1
Baghlān;Baghlan;36.1328;68.7;1
Andkhōy;Andkhoy;36.95;65.1167;1
Kōṯah-ye ‘As̲h̲rō;Kotah-ye `Ashro;34.45;68.8;1
Sarandë;Sarande;39.8833;20.0167;2
Krujë;Kruje;41.5178;19.7978;2
Burrel;Burrel;41.6;20;2
Ersekë;Erseke;40.3333;20.6833;2
Çorovodë;Corovode;40.5042;20.2272;2
Pukë;Puke;42.05;19.9;2
Delvinë;Delvine;39.9494;20.0958;2
Prrenjas;Prrenjas;41.0667;20.55;2
Krumë;Krume;42.1961;20.4146;2
Kuçovë;Kucove;40.8039;19.9144;2
Librazhd-Qendër;Librazhd-Qender;41.1969;20.3356;2
Bajram Curri;Bajram Curri;42.3582;20.076;2
Tepelenë;Tepelene;40.3;20.0167;2
Përmet;Permet;40.2333;20.35;2
Patos;Patos;40.6841;19.6194;2
Sukth;Sukth;41.3833;19.5333;2
Peshkopi;Peshkopi;41.6831;20.4289;2
Kukës;Kukes;42.0758;20.4231;2
Roskovec;Roskovec;40.7375;19.7022;2
Laç;Lac;41.6353;19.7131;2
Fushë-Krujë;Fushe-Kruje;41.4833;19.7167;2
Gjirokastër;Gjirokaster;40.0758;20.1389;2
Lezhë;Lezhe;41.7805;19.6434;2
Cërrik;Cerrik;41.0333;19.9833;2
Berat;Berat;40.7049;19.9497;2
Bilisht;Bilisht;40.6275;20.99;2
Peqin;Peqin;41.05;19.75;2
Librazhd;Librazhd;41.1833;20.3167;2
Korçë;Korce;40.6167;20.7667;2
